"Name","Location","FunctionSignature","FunctionSize"
"~AWaveBank","005dcf20","undefined ~AWaveBank(undefined1 param_1)","27"
"AWaveBankFMODFSB","005dcf40","AWaveBankFMODFSB * AWaveBankFMODFSB(AWaveBankFMODFSB * this, TPString8 * param_2, TPString8 * param_3)","34"
"~AWaveBankFMODFSB","005dcf70","undefined ~AWaveBankFMODFSB()","11"
"IsReady","005dcf80","bool IsReady(AWaveBankFMODFSB * param_1)","15"
"AWaveBankFMODFSBStream","005dcf90","AWaveBankFMODFSBStream * AWaveBankFMODFSBStream(AWaveBankFMODFSBStream * param_1_00, undefined4 param_2, undefined4 param_3)","34"
"~AWaveBankFMODFSBStream","005dcfc0","undefined ~AWaveBankFMODFSBStream()","11"
"IsReady","005dcfd0","bool IsReady(AWaveBankFMODFSBStream * param_1)","15"
"~AWaveBankFMODFSB","005dcfe0","undefined ~AWaveBankFMODFSB(undefined1 param_1)","27"
"Load","005dd000","undefined4 Load(AWaveBankFMODFSB * this, TUINT a_bLocalise)","550"
"Unload","005dd230","undefined4 Unload(AWaveBankFMODFSB * param_1)","119"
"~AWaveBankFMODFSBStream","005dd2b0","undefined ~AWaveBankFMODFSBStream(undefined1 param_1)","27"
"Load","005dd2d0","int Load(AWaveBankFMODFSBStream * this, undefined4 param_2, int a_uiFlags)","493"
"Unload","005dd4c0","undefined4 Unload(AWaveBankFMODFSBStream * param_1)","120"
"FUN_005dd570","005dd570","undefined FUN_005dd570()","79"
"Render","005dd5c0","void Render(AGateManager * param_1)","353"
"FUN_005dd730","005dd730","undefined FUN_005dd730(undefined4 param_1)","134"
"FUN_005dd7c0","005dd7c0","undefined FUN_005dd7c0()","71"
"FUN_005dd810","005dd810","undefined FUN_005dd810(undefined4 param_1, undefined4 param_2)","55"
"FUN_005dd850","005dd850","undefined FUN_005dd850(undefined4 param_1)","41"
"FUN_005dd880","005dd880","undefined FUN_005dd880(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined1 param_4)","179"
"FUN_005dd940","005dd940","undefined FUN_005dd940(undefined4 param_1)","75"
"FUN_005dd9a0","005dd9a0","undefined FUN_005dd9a0(undefined1 param_1)","36"
"FUN_005dd9d0","005dd9d0","undefined FUN_005dd9d0(undefined4 param_1, undefined4 param_2, undefined1 param_3)","172"
"FUN_005ddaa0","005ddaa0","undefined FUN_005ddaa0(undefined4 param_1)","78"
"FUN_005ddb00","005ddb00","undefined FUN_005ddb00()","96"
"FUN_005ddb60","005ddb60","undefined FUN_005ddb60(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5)","59"
"FUN_005ddba0","005ddba0","undefined FUN_005ddba0(undefined4 param_1, undefined4 param_2)","96"
"FUN_005ddc00","005ddc00","undefined FUN_005ddc00(undefined4 param_1, undefined4 param_2, undefined4 param_3)","126"
"FUN_005ddc80","005ddc80","undefined FUN_005ddc80(undefined4 param_1, undefined4 param_2, undefined4 param_3)","126"
"FUN_005ddd00","005ddd00","undefined FUN_005ddd00(undefined4 param_1, undefined4 param_2, undefined4 param_3)","126"
"FUN_005ddd80","005ddd80","undefined FUN_005ddd80(undefined4 param_1, undefined4 param_2, undefined4 param_3)","126"
"FUN_005dde00","005dde00","undefined FUN_005dde00()","121"
"FUN_005dde80","005dde80","undefined FUN_005dde80()","121"
"FUN_005ddf00","005ddf00","undefined FUN_005ddf00()","121"
"FUN_005ddf80","005ddf80","undefined FUN_005ddf80()","121"
"FUN_005de000","005de000","undefined FUN_005de000()","245"
"FUN_005de110","005de110","undefined FUN_005de110(undefined4 param_1, undefined4 param_2)","253"
"FUN_005de210","005de210","undefined FUN_005de210(undefined4 param_1)","120"
"FUN_005de290","005de290","undefined FUN_005de290(undefined4 param_1)","227"
"FUN_005de380","005de380","undefined FUN_005de380(undefined4 param_1)","350"
"FUN_005de4e0","005de4e0","undefined FUN_005de4e0(undefined4 param_1, undefined4 param_2)","132"
"FUN_005de570","005de570","undefined FUN_005de570(undefined1 param_1)","27"
"FUN_005de590","005de590","undefined FUN_005de590()","209"
"FUN_005de670","005de670","void FUN_005de670(int param_1_00, int param_2, undefined4 param_3)","83"
"FUN_005de6d0","005de6d0","undefined FUN_005de6d0(undefined4 param_1)","337"
"FUN_005de830","005de830","undefined FUN_005de830(undefined4 param_1)","223"
"FUN_005de910","005de910","undefined FUN_005de910(undefined4 param_1)","193"
"FUN_005de9e0","005de9e0","undefined FUN_005de9e0(undefined4 param_1, undefined4 param_2)","144"
"FUN_005deaa0","005deaa0","undefined FUN_005deaa0(undefined4 param_1, undefined param_2, undefined4 param_3)","144"
"FUN_005deb30","005deb30","undefined FUN_005deb30(undefined4 param_1, undefined param_2, undefined4 param_3)","147"
"FUN_005debd0","005debd0","undefined FUN_005debd0(undefined4 param_1, undefined param_2, undefined4 param_3)","149"
"FUN_005dec70","005dec70","undefined FUN_005dec70(undefined4 param_1)","544"
"FUN_005dee90","005dee90","undefined FUN_005dee90()","79"
"FUN_005deee0","005deee0","undefined FUN_005deee0()","2344"
"AGateManager","005df950","undefined AGateManager()","207"
"FUN_005dfa20","005dfa20","undefined FUN_005dfa20()","92"
"FUN_005dfa80","005dfa80","undefined FUN_005dfa80(undefined4 param_1)","61"
"FUN_005dfac0","005dfac0","undefined FUN_005dfac0()","18"
"FUN_005dfb10","005dfb10","undefined FUN_005dfb10()","76"
"FUN_005dfb60","005dfb60","undefined FUN_005dfb60(undefined1 param_1)","81"
"FUN_005dfbc0","005dfbc0","undefined FUN_005dfbc0(undefined4 param_1, undefined4 param_2, undefined4 param_3)","39"
"FUN_005dfbf0","005dfbf0","undefined FUN_005dfbf0(undefined4 param_1, undefined4 param_2, undefined4 param_3)","33"
"FUN_005dfc20","005dfc20","undefined FUN_005dfc20()","36"
"FUN_005dfc50","005dfc50","undefined FUN_005dfc50(undefined4 param_1)","13"
"FUN_005dfc60","005dfc60","undefined FUN_005dfc60(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)","129"
"CollObjectModel","005dfd10","AInstanceManager_CollObjectModel * CollObjectModel(AInstanceManager_CollObjectModel * param_1)","33"
"FUN_005dfd40","005dfd40","undefined FUN_005dfd40()","17"
"AInstanceManager","005dfd60","undefined4 * AInstanceManager(AInstanceManager * param_1)","464"
"FUN_005dff30","005dff30","undefined FUN_005dff30(undefined4 param_1)","169"
"FUN_005dffe0","005dffe0","undefined FUN_005dffe0()","99"
"FUN_005e0050","005e0050","undefined FUN_005e0050(undefined4 param_1)","151"
"FUN_005e00f0","005e00f0","void FUN_005e00f0(int param_1)","80"
"FUN_005e0140","005e0140","undefined FUN_005e0140(undefined4 param_1)","439"
"CreateFromLocators","005e0300","void CreateFromLocators(AInstanceManager * param_1_00, ATerrainLocatorManager * param_2)","3189"
"FUN_005e0f80","005e0f80","undefined FUN_005e0f80(undefined4 param_1)","344"
"FUN_005e10e0","005e10e0","void FUN_005e10e0(AInstanceManager * param_1_00, undefined4 * param_2, TMatrix44 * param_3, int param_4, int * param_5, char param_6)","1001"
"FUN_005e14d0","005e14d0","void FUN_005e14d0(AInstanceManager * param_1_00, undefined4 * param_2, TMatrix44 * param_3, int param_4, int * param_5, char param_6)","698"
"Render","005e17a0","bool Render(AInstanceManager * param_1)","716"
"FUN_005e1a80","005e1a80","undefined FUN_005e1a80(undefined4 param_1, undefined4 param_2)","82"
"Reset","005e1ae0","void Reset(AInstanceManager * param_1)","668"
"FUN_005e1d80","005e1d80","undefined FUN_005e1d80()","245"
"FUN_005e1e80","005e1e80","bool FUN_005e1e80(AInstanceManager * param_1_00, int param_2, int param_3, int param_4, int * param_5, undefined4 param_6, int param_7)","991"
"FUN_005e2260","005e2260","undefined FUN_005e2260()","31"
"FUN_005e2280","005e2280","undefined FUN_005e2280()","18"
"FUN_005e22d0","005e22d0","undefined FUN_005e22d0()","95"
"FUN_005e2340","005e2340","void FUN_005e2340(AGrowthObject * param_1)","10"
